latitude,longitude,rad,tps,brk,string
37.9871154,23.3634782,0.0003,10,0,2
37.9872803,23.3643204,0.0002,0,7,3
37.9874452,23.3644277,0.00005,1,8,4
37.9877792,23.3639985,0.0003,1,0,2
37.9878849,23.3635908,0.0003,2,0,4
37.9877073,23.3625126,0.0003,4,0,4
37.9875847,23.3618689,0.0002,10,0,1
37.9873902,23.3613485,0.0002,0,0,1
37.9869547,23.3609515,0.0005,3,0,1
37.9869336,23.3604634,0.0002,1,8,2
37.9873226,23.3603293,0.0002,2,2,3
37.9879525,23.3602971,0.0002,6,5,3
37.9882654,23.3603936,0.0002,3,0,5
37.988443,23.3612573,0.0002,1,0,6
37.9883204,23.3629686,0.0002,10,0,1
37.9882273,23.3641273,0.0002,10,3,1
37.9880667,23.3658332,0.0002,0,0,1
37.9878976,23.3662999,0.0002,0,0,1
37.9875889,23.366257,0.0002,1,0,1
37.9873226,23.3658332,0.0002,2,10,2
37.9870097,23.3650821,0.0002,6,4,2
37.9867856,23.3635962,0.0002,10,1,2
37.9865827,23.362754,0.0002,10,1,2
37.9864854,23.3624858,0.0002,0,0,2
37.9860838,23.3622336,0.0002,1,0,3
37.9858343,23.3620405,0.0002,0,3,2
37.9857963,23.3617026,0.0002,1,1,6
37.9859189,23.3615738,0.0002,1,0,5
37.9862402,23.3616596,0.0002,2,0,4
37.986625,23.361944,0.0002,3,0,3
37.9868617,23.3625019,0.0002,7,0,2
37.9869759,23.3629793,0.0002,10,0,1
